TADIG,Operator name,Country,Region,Group,MCC/MNC
AAZOR,Orange M-IoT,N/A,N/A,Orange,90131
BELMO,Orange Belgium,BELGIUM,EEA,Orange,20610
BFACT,Orange Burkina Faso,BURKINA FASO,Africa,Orange,61302
BWAVC,Orange Botswana,BOTSWANA,Africa,Orange,65202
CAF03,Orange CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,Africa,Orange,62303
CIV03,Orange IVORY COAST,IVORY COAST,Africa,Orange,61203
CMR02,Orange CAMEROON,CAMEROON,Africa,Orange,62402
CODOR,Orange RDC,"CONGO, DEMOCRATIC REPUBLIC OF",Africa,Orange,63086
EGYAR,Orange EGYPT,EGYPT,Middle East,Orange,60201
ESPJZ,Orange SPAIN,SPAIN,EEA,Orange,21421
ESPRT,Orange SPAIN,SPAIN,EEA,Orange,21403
FRAAB,Roaming Hub Alias,N/A,N/A,Orange,N/A
FRAF1,Orange FRANCE,FRANCE,EEA,Orange,20801
GINGS,Orange GUINEA,GUINEA,Africa,Orange,61101
GLP01,Orange CARRIBEAN,FRENCH WEST INDIES,EEA,Orange,34001
GNB03,Orange GUINEA BISSAU,GUINEA BISSAU,Africa,Orange,63203
GNQ01,Orange EQUATORIAL GUINEA,EQUATORIAL GUINEA,Africa,Orange,62701
JORMC,Orange JORDAN,JORDAN,Middle East,Orange,41677
LBR07,Orange LIBERIA,LIBERIA,Africa,Orange,61807
LUXVM,Orange LUXEMBOURG,LUXEMBOURG,EEA,Orange,27099
MARMT,Orange MOROCCO,MOROCCO,Africa,Orange,60400
MDAVX,Orange Moldova,"MOLDOVA, REPUBLIC OF",Europe,Orange,25901
MDGAN,Orange MADAGASCAR,MADAGASCAR,Africa,Orange,64602
MLI02,Orange MALI,MALI,Africa,Orange,61002
POL03,Orange POLAND,POLAND,EEA,Orange,26003
REU02,Orange LA REUNION,LA REUNION,EEA,Orange,64700
ROMMR,Orange ROMANIA,ROMANIA,EEA,Orange,22610
SENAZ,Orange SENEGAL,SENEGAL,Africa,Orange,60801
SLECT,Orange SIERRA LEONE,SIERRA LEONE,Africa,Orange,61901
SPM01,Orange SAINT PIERRE ET MIQUELON,SAINT PIERRE ET MIQUELON,EEA,Orange,30801
SVKGT,Orange SLOVAKIA,SLOVAKIA,EEA,Orange,23101
TUNOR,Orange TUNISIA,TUNISIA,Middle East,Orange,60501
VUT01,Orange VANUATU,VANUATU,Oceania,Orange,54101
AAZVF,Vodafone - M2M,N/A,N/A,Vodafone,90128
ALBVF,VODAFONE ALBANIA,ALBANIA,Europe,Vodafone,27602
AUSVF,VODAFONE AUSTRALIA,AUSTRALIA,Oceania,Vodafone,50503
CZECM,VODAFONE CZECH REPUBLIC,CZECH REPUBLIC,EEA,Vodafone,23003
DEUD2,VODAFONE GERMANY,GERMANY,EEA,Vodafone,26202
EGYMS,VODAFONE EGYPT,EGYPT,Middle East,Vodafone,60202
ESPAT,VODAFONE SPAIN,SPAIN,EEA,Vodafone,21401
ESPVV,VODAFONE SPAIN,SPAIN,EEA,Vodafone,21406
GBRVF,VODAFONE UK,UNITED KINGDOM,EEA,Vodafone,23415
GRCPF,VODAFONE GREECE,GREECE,EEA,Vodafone,20205
GRCCT,VODAFONE GREECE,GREECE,EEA,Vodafone,20214
HUNVR,VODAFONE HUNGARY,HUNGARY,EEA,Vodafone,21670
IRLEC,VODAFONE IRELAND,IRELAND,EEA,Vodafone,27201
ITAOM,VODAFONE ITALY,ITALY,EEA,Vodafone,22210
MLTTL,VODAFONE MALTA,MALTA,EEA,Vodafone,27801
NLDLT,VODAFONE NETHERLANDS,NETHERLANDS,EEA,Vodafone,20404
NZLBS,VODAFONE NEW ZEALAND,NEW ZEALAND,Oceania,Vodafone,53001
PRTTL,VODAFONE PORTUGAL,PORTUGAL,EEA,Vodafone,26801
QATB1,VODAFONE QATAR,QATAR,Middle East,Vodafone,42702
ROMMF,VODAFONE ROMANIA,ROMANIA,EEA,Vodafone,22601
TURTS,VODAFONE TURKEY,TURKEY,Europe,Vodafone,28602
CODVC,VODACOM CONGO,CONGO,Africa,Vodafone,63001
LSOVL,VODACOM LESOTHO,LESOTHO,Africa,Vodafone,65101
MOZVC,VODACOM MOZAMBIQUE,MOZAMBIQUE,Africa,Vodafone,64304
TZAVC,VODACOM TANZANIA,TANZANIA,Africa,Vodafone,64004
ZAFVC,VODACOM SOUTH AFRICA,SOUTH AFRICA,Africa,Vodafone,65501
VRSFC,VODAFONE GROUP,N/A,N/A,Vodafone,N/A
AUTMM,DT AUSTRIA,AUSTRIA,EEA,DEUTSCHE TELEKOM,23203
AUTTR,DT AUSTRIA,AUSTRIA,EEA,DEUTSCHE TELEKOM,23207
CZERM,DT CZECH REPUBLIC,CZECH REPUBLIC,EEA,DEUTSCHE TELEKOM,23001
DEUD1,DT GERMANY,GERMANY,EEA,DEUTSCHE TELEKOM,26201
AAZTD,DT GERMANY,GERMANY,EEA,DEUTSCHE TELEKOM,90140
HUNH2,DT HUNGARY,HUNGARY,EEA,DEUTSCHE TELEKOM,21630
NLDPN,DT NETHERLANDS,NETHERLANDS,EEA,DEUTSCHE TELEKOM,20416
NLDDT,DT NETHERLANDS,NETHERLANDS,EEA,DEUTSCHE TELEKOM,20420
SVKET,DT SLOVAKIA,SLOVAKIA,EEA,DEUTSCHE TELEKOM,23102
POL02,DT POLAND,POLAND,EEA,DEUTSCHE TELEKOM,26002
GRCCO,DT GREECE,GREECE,EEA,DEUTSCHE TELEKOM,20201
ROMCS,DT ROMANIA,ROMANIA,EEA,DEUTSCHE TELEKOM,22603
HRVCN,DT CROATIA,CROATIA,EEA,DEUTSCHE TELEKOM,21901
MKDMM,DT NORTH MACEDONIA,NORTH MACEDONIA,Europe,DEUTSCHE TELEKOM,29401
MNETM,DT MONTENEGRO,MONTENEGRO,Europe,DEUTSCHE TELEKOM,29702
USAX1,T-Mobile USA M2M,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,
USA16,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310160
USAW0,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310200
USAW4,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310240
USAW5,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310250
USAW6,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310260
USA27,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310270
USA31,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310310
USASC,T-Mobile USA,USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310490
USASP,T-Mobile USA (Sprint),USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,310120
USA44,T-Mobile USA (Sprint),USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,
USASU,T-Mobile USA (Sprint),USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,
USANC,T-Mobile USA (Sprint),USA,NORTH AND MIDDLE AMERICA,DEUTSCHE TELEKOM,316010
USAVZ,Verizon,USA,NORTH AMERICA,VERIZON,311480
USAVM,Verizon,USA,NORTH AMERICA,VERIZON,311270
ARGTM,Telefónica Móviles Argentina S.A.,ARGENTINA,LatAm,Telefónica,72207
ARG01,Telefónica Móviles Argentina S.A.,ARGENTINA,LatAm,Telefónica,722010
BRATC,Vivo MG,BRAZIL,LatAm,Telefónica,72423
BRAV1,VIVO (BRAV1),BRAZIL,LatAm,Telefónica,72410
BRAV2,VIVO (BRAV2),BRAZIL,LatAm,Telefónica,72406
BRAV3,VIVO (BRAV3),BRAZIL,LatAm,Telefónica,72411
